date,adj_close,vol
2021-08-19 00:00:00-04:00,18.73,37097100
2021-08-20 00:00:00-04:00,18.5,28979400
2021-08-23 00:00:00-04:00,19.11,23637500
2021-08-24 00:00:00-04:00,19.83,31550400
2021-08-25 00:00:00-04:00,20.15,26913300
2021-08-26 00:00:00-04:00,19.9,22809500
2021-08-27 00:00:00-04:00,20.22,21615100
2021-08-30 00:00:00-04:00,19.51,24094300
2021-08-31 00:00:00-04:00,19.94,24993200
2021-09-01 00:00:00-04:00,19.64,20843200
2021-09-02 00:00:00-04:00,19.76,20179400
2021-09-03 00:00:00-04:00,19.37,20311900
2021-09-07 00:00:00-04:00,19.53,18291000
2021-09-08 00:00:00-04:00,19.13,21836100
2021-09-09 00:00:00-04:00,20.2,60077200
2021-09-10 00:00:00-04:00,18.95,54951400
2021-09-13 00:00:00-04:00,19.31,42886000
2021-09-14 00:00:00-04:00,19.21,23820100
2021-09-15 00:00:00-04:00,19.38,22989100
2021-09-16 00:00:00-04:00,19.89,33586200
2021-09-17 00:00:00-04:00,19.73,32602600
2021-09-20 00:00:00-04:00,20.33,43601300
2021-09-21 00:00:00-04:00,19.76,34050100
2021-09-22 00:00:00-04:00,20.52,39344300
2021-09-23 00:00:00-04:00,20.9,51636300
2021-09-24 00:00:00-04:00,21.39,39971700
2021-09-27 00:00:00-04:00,21.47,33190500
2021-09-28 00:00:00-04:00,21.43,26170200
2021-09-29 00:00:00-04:00,21.01,20467900
2021-09-30 00:00:00-04:00,20.52,24079400
2021-10-01 00:00:00-04:00,21.65,36430900
2021-10-04 00:00:00-04:00,21.39,28623400
2021-10-05 00:00:00-04:00,21.47,22580100
2021-10-06 00:00:00-04:00,20.54,37908500
2021-10-07 00:00:00-04:00,20.17,29167200
2021-10-08 00:00:00-04:00,20.07,21691000
2021-10-11 00:00:00-04:00,20.13,23646800
2021-10-12 00:00:00-04:00,20.29,18448400
2021-10-13 00:00:00-04:00,19.61,33328000
2021-10-14 00:00:00-04:00,19.64,21544600
2021-10-15 00:00:00-04:00,19.98,27259900
2021-10-18 00:00:00-04:00,19.84,20604400
2021-10-19 00:00:00-04:00,19.53,25758300
2021-10-20 00:00:00-04:00,19.52,31618100
2021-10-21 00:00:00-04:00,19.89,29224700
2021-10-22 00:00:00-04:00,19.15,36948200
2021-10-25 00:00:00-04:00,19.23,27977600
2021-10-26 00:00:00-04:00,19.39,31007900
2021-10-27 00:00:00-04:00,19.03,22215000
2021-10-28 00:00:00-04:00,19.19,26506900
2021-10-29 00:00:00-04:00,19.2,21679000
2021-11-01 00:00:00-04:00,19.77,32308500
2021-11-02 00:00:00-04:00,19.83,19979100
2021-11-03 00:00:00-04:00,20.63,35014100
2021-11-04 00:00:00-04:00,20.63,23940500
2021-11-05 00:00:00-04:00,21.82,58082500
2021-11-08 00:00:00-05:00,22.25,35774400
2021-11-09 00:00:00-05:00,22.26,22013200
2021-11-10 00:00:00-05:00,21.57,22330900
2021-11-11 00:00:00-05:00,21.33,18499300
2021-11-12 00:00:00-05:00,20.29,48375400
2021-11-15 00:00:00-05:00,20.32,20874000
2021-11-16 00:00:00-05:00,19.84,36075200
2021-11-17 00:00:00-05:00,19.86,17862800
2021-11-18 00:00:00-05:00,19.39,31051900
2021-11-19 00:00:00-05:00,19.28,31259800
2021-11-22 00:00:00-05:00,19.63,33220600
2021-11-23 00:00:00-05:00,19.47,30427300
2021-11-24 00:00:00-05:00,19.46,21323300
2021-11-26 00:00:00-05:00,17.75,84177500
2021-11-29 00:00:00-05:00,17.74,42940300
2021-11-30 00:00:00-05:00,17.69,49870100
2021-12-01 00:00:00-05:00,16.28,82030100
2021-12-02 00:00:00-05:00,17.42,58808900
2021-12-03 00:00:00-05:00,16.62,57884000
2021-12-06 00:00:00-05:00,17.93,74005500
2021-12-07 00:00:00-05:00,17.89,50249900
2021-12-08 00:00:00-05:00,18.23,46340600
2021-12-09 00:00:00-05:00,18.14,36027700
2021-12-10 00:00:00-05:00,18.01,28696100
2021-12-13 00:00:00-05:00,17.12,40783900
2021-12-14 00:00:00-05:00,16.91,30171300
2021-12-15 00:00:00-05:00,16.99,39939400
2021-12-16 00:00:00-05:00,16.52,31751200
2021-12-17 00:00:00-05:00,16.95,41330600
2021-12-20 00:00:00-05:00,17.3,44479100
2021-12-21 00:00:00-05:00,18.12,47592000
2021-12-22 00:00:00-05:00,18.26,29523000
2021-12-23 00:00:00-05:00,18.26,32321000
2021-12-27 00:00:00-05:00,18.17,28059300
2021-12-28 00:00:00-05:00,18.54,28263600
2021-12-29 00:00:00-05:00,18.05,22627000
2021-12-30 00:00:00-05:00,18.07,28158200
2021-12-31 00:00:00-05:00,17.96,20657000
2022-01-03 00:00:00-05:00,18.75,42781000
2022-01-04 00:00:00-05:00,19.02,29266600
2022-01-05 00:00:00-05:00,18.68,34447900
2022-01-06 00:00:00-05:00,18.57,19097700
2022-01-07 00:00:00-05:00,19.28,42399500
2022-01-10 00:00:00-05:00,18.79,25707700
2022-01-11 00:00:00-05:00,19.02,22531500
2022-01-12 00:00:00-05:00,18.5,41140900
2022-01-13 00:00:00-05:00,19.34,55911800
2022-01-14 00:00:00-05:00,18.49,44983100
2022-01-18 00:00:00-05:00,17.9,39736900
2022-01-19 00:00:00-05:00,17.31,36133100
2022-01-20 00:00:00-05:00,16.76,54892800
2022-01-21 00:00:00-05:00,16.3,52547500
2022-01-24 00:00:00-05:00,16.41,59941000
2022-01-25 00:00:00-05:00,16.46,42471600
2022-01-26 00:00:00-05:00,16.24,39331800
2022-01-27 00:00:00-05:00,15.78,43507400
2022-01-28 00:00:00-05:00,15.64,51662600
2022-01-31 00:00:00-05:00,16.47,35533500
2022-02-01 00:00:00-05:00,16.83,30798800
2022-02-02 00:00:00-05:00,16.96,37904200
2022-02-03 00:00:00-05:00,16.57,30642800
2022-02-04 00:00:00-05:00,16.45,38585200
2022-02-07 00:00:00-05:00,17.28,52927500
2022-02-08 00:00:00-05:00,18.26,46702500
2022-02-09 00:00:00-05:00,18.76,42407300
2022-02-10 00:00:00-05:00,18.71,36411800
2022-02-11 00:00:00-05:00,17.61,50338900
2022-02-14 00:00:00-05:00,17.43,37446600
2022-02-15 00:00:00-05:00,18.84,46447100
2022-02-16 00:00:00-05:00,18.82,30557500
2022-02-17 00:00:00-05:00,18.22,29950300
2022-02-18 00:00:00-05:00,17.87,30507500
2022-02-22 00:00:00-05:00,17.43,32432700
2022-02-23 00:00:00-05:00,16.64,35359100
2022-02-24 00:00:00-05:00,16.96,56881500
2022-02-25 00:00:00-05:00,17.46,43874100
2022-02-28 00:00:00-05:00,17.25,51465700
2022-03-01 00:00:00-05:00,16.29,50513700
2022-03-02 00:00:00-05:00,16.37,43654300
2022-03-03 00:00:00-05:00,15.71,47575100
2022-03-04 00:00:00-05:00,14.59,76212200
2022-03-07 00:00:00-05:00,12.84,89360300
2022-03-08 00:00:00-05:00,13.51,88067100
2022-03-09 00:00:00-05:00,14.3,88884200
2022-03-10 00:00:00-05:00,14.2,56571700
2022-03-11 00:00:00-05:00,14.02,48409500
2022-03-14 00:00:00-04:00,14.25,53284300
2022-03-15 00:00:00-04:00,15.57,76398400
2022-03-16 00:00:00-04:00,16.47,66907400
2022-03-17 00:00:00-04:00,16.55,41996300
2022-03-18 00:00:00-04:00,16.75,39040200
2022-03-21 00:00:00-04:00,16.09,45852600
2022-03-22 00:00:00-04:00,16.56,40143400
2022-03-23 00:00:00-04:00,16.21,31336000
2022-03-24 00:00:00-04:00,16.72,33894000
2022-03-25 00:00:00-04:00,17.01,39510300
2022-03-28 00:00:00-04:00,17.3,29985300
2022-03-29 00:00:00-04:00,18.16,58105500
2022-03-30 00:00:00-04:00,18.05,28866400
2022-03-31 00:00:00-04:00,18.25,33338200
2022-04-01 00:00:00-04:00,18.24,25182700
2022-04-04 00:00:00-04:00,18.23,23037400
2022-04-05 00:00:00-04:00,17.84,35187300
2022-04-06 00:00:00-04:00,17.38,40217800
2022-04-07 00:00:00-04:00,16.95,42285200
2022-04-08 00:00:00-04:00,16.59,22627700
2022-04-11 00:00:00-04:00,16.97,24886200
2022-04-12 00:00:00-04:00,17.13,31461600
2022-04-13 00:00:00-04:00,18.95,90231900
2022-04-14 00:00:00-04:00,19.0,43180700
2022-04-18 00:00:00-04:00,18.54,27478900
2022-04-19 00:00:00-04:00,19.59,41228000
2022-04-20 00:00:00-04:00,19.48,43515000
2022-04-21 00:00:00-04:00,20.22,84042900
2022-04-22 00:00:00-04:00,20.18,42141900
